type_id,manufacturer,model,series
_WDEX_1,AB Radab,Radab Windex,WDEX
_YURO_1,- see SOKO and CNIAR,SOKO-CNAIR J-22 Orao,YURO
_Z37P_1,Let Kunovice,Zlín Z-37 Čmelák,Z37P
_Z50_1,Zlin,Zlín Z-50,Z50
A1,Douglas Aircraft Company,Douglas A-1 Skyraider,A1
A10,Fairchild Aircraft,Fairchild Republic A-10 Thunderbolt II,A10
A4,Douglas Aircraft Company,Douglas A-4 Skyhawk,A4
A660,Thrush Aircraft Inc,Thrush S-2R-660 Turbo Thrush,A660
A7,Ling-Temco-Vought (LTV),LTV A-7 Corsair II,A7
A9,Aero Commander Inc,Aero Commander A-9 Ag Commander,A9
A900,Aviatika JSC,Aviatika MAI-900 Acrobat,A900
ACR2,Acro Sport Inc,Acro-Sport II,ACR2
ACRO,Acro Sport Inc,Acro-Sport I,ACRO
AG02,Avions A.Gatard,Gatard Statoplan AG-02 Poussin,AG02
AKRO,C.L.Stephens,Stephens Akro,AKRO
AMX,AMX International,AMX International AMX Ghibli,AMX
ARES,Scaled Composites,Scaled Composites 151 ARES,ARES
AS14,Alexander Schleicher GmbH & Co,Schleicher ASK 14,AS14
AS20,Alexander Schleicher GmbH & Co,Schleicher ASW 20,AS20
AS22,Alexander Schleicher GmbH & Co,Schleicher ASW 22,AS22
AS24,Alexander Schleicher GmbH & Co,Schleicher ASW 24,AS24
AS26,Alexander Schleicher GmbH & Co,Schleicher ASH 26,AS26
AS28,Alexander Schleicher GmbH & Co,Schleicher ASW 28,AS28
AS29,Alexander Schleicher GmbH & Co,Schleicher ASG 29,AS29
AS31,Alexander Schleicher GmbH & Co,Schleicher ASH 31,AS31
AT3P,Air Tractor Inc,Air Tractor AT-300,AT3P
AT5T,Air Tractor Inc,Air Tractor AT-502,AT5T
AT6T,Air Tractor Inc,Air Tractor AT-602,AT6T
ATAC,Aircraft Technologies Inc,Aircraft Technologies Acro 1,ATAC
BBAT,Bradley Aerospace,Bradley BA-100 Aerobat,BBAT
BCAT,Grumman Aerospace Corporation,Grumman F8F Bearcat,BCAT
BD17,Bede Aircraft Corporation,Bede BD-17 Nuggett,BD17
BD5,Bede Aircraft Corporation,Bede BD-5B/D/G Micro,BD5
BD5J,Bede Aircraft Corporation,Bede BD-5J Micro,BD5J
BD5T,Bede Aircraft Corporation,Bede BD-5T Micro,BD5T
BETA,Rollason Aircraft and Engines Ltd,Rollason Beta,BETA
BEVR,Aircraft Sales & Parts (ASAP),ASAP Spectrum Beaver,BEVR
BF19,Peter Podesva,Podesva Bf-109G-2,BF19
BIPL,Experimental Aircraft Association Inc,EAA Biplane,BIPL
BL11,Société Blériot Aéronautique,Blériot XI,BL11
BU33,Bücker-Flugzeugbau GmbH,Bücker Bü 133 Jungmeister,BU33
C188,Cessna Aircraft Company,Cessna A188 AGwagon,C188
CA19,Commonwealth Aircraft Corporation (CAC),Commonwealth CA-19 Boomerang,CA19
CA61,Anton Cvjetkovic,Cvjetkovic CA-61 Mini Ace,CA61
CAML,Sopwith Aviation Company,Sopwith F.1 Camel,CAML
CASS,Thomas K.Cassutt,Cassutt Special,CASS
CDW1,Chilton Aircraft,Chilton DW-1,CDW1
CG3,Société des Avions Caudron,Caudron G.3,CG3
CH10,Zenair Ltd,Zenair CH-100 Mono-Z,CH10
CH15,Zenair Ltd,Zenair CH-150 Acro Zenith,CH15
CH62,Zénith Aircraft Company,Zenith CH-620 Gemini,CH62
CHIN,Aircraft Sales & Parts (ASAP),ASAP Birdman Chinook,CHIN
CJ1,John C.Corby,Corby CJ-1 Starlet,CJ1
CKUO,Aerospace Industrial Development Corporation (IADC),AIDC F-CK-1 Ching-kuo,CKUO
CN12,Circa Reproductions,Circa Nieuport 12-7/8,CN12
CORS,Vought Aircraft Industries,Vought F4U Corsair,CORS
CP20,Avions Mudry & Cie,Mudry CAP-20,CP20
CP21,Avions Mudry & Cie,Mudry CAP-21,CP21
CP23,CAP Aviation,Cap Aviation CAP-230,CP23
CP80,Piel Aviation SA,Piel CP-80 Zéphir,CP80
CP90,Piel Aviation SA,Piel CP-90 Pinocchio,CP90
CPNA,Louis Pena,Pena Capena,CPNA
CRA1,"Cranfield Institute of Technology, College of Aeronautics",Cranfield A-1 Eagle,CRA1
CYCL,Carlson Aircraft Inc,Carlson Skycycle,CYCL
D31,Avions Roger Druine,Druine D-31 Turbulent,D31
D39,Akademische Fliegergruppe Darmstadt eV,Akaflieg Darmstadt D-39,D39
D7,Fokker,Fokker D.VII,D7
